"licensee_name","doing_business_as","license_number","license_type","expiration","street_address","city","state","zip"
"RETIRED ENLISTEDASSOC THE","TREA CHAPTER 39","21-57406-0000","Club License (city)","2019-11-18","15821 E CENTRETECH CIRCLE","Aurora","CO",80011
"RIAL DE MINAS III INC","REAL DE MINAS MEXICAN GRILL III","42-62198-0000","Hotel & Restaurant (city)","2019-10-14","6775 S CORNERSTAR WAY UNIT E","Aurora","CO",80016
"BD OF COLORADO LLC","BAD DADDY'S BURGER BAR","03-03735","Hotel & Restaurant (city)","2019-12-02","23955 EAST PLAZA AVENUE  SUITES G105 & 107","Aurora","CO",80016
"APPLE COLORADO LLC","APPLEBEE'S NEIGHBORHOOD GRILL & BAR","03-00977","Hotel & Restaurant (city)","2020-03-25","16485 EAST 40TH CIRCLE","Aurora","CO",80011
"RACING ASSCS OF COLOLTD WEMBLEY ARAP HLD","ARAPAHOE PARK","09-59069-0001","Racetrack License (county)","2019-09-28","26000 E QUINCY AVE","Aurora","CO",800164027
"CARNICERIA Y VERDULERIA GUADALAJARA INC.","CARNICERIA Y VERDULERIA GUADALAJARA","04-00781","Fermented Malt Beverage Off (city)","2020-05-21","1544 LIMA STREET UNIT A","Aurora","CO",80010
"CST METRO LLC","CIRCLE K #2744048","21-79919-0058","Fermented Malt Beverage Off (city)","2019-06-14","12796 E COLFAX AVE","Aurora","CO",80011
"PRISHIKA INC","SAM'S SOUTHEAST LIQUORS","03-08347","Liquor Store (city)","2019-10-25","6201 SOUTH AURORA PARKWAY","Aurora","CO",80016
"SADDLE ROCK ENERGY INC & 7-ELEVEN INC","7-ELEVEN STORE 34504B","04-00639","Fermented Malt Beverage Off (city)","2019-09-26","7451 SOUTH GARTRELL ROAD","Aurora","CO",80016
"BJ'S RESTAURANTS INC","BJ'S RESTAURANT & BREWHOUSE","07-42950-0003","Hotel & Restaurant (city)","2019-07-11","14442 E CEDAR AVE","Aurora","CO",80012
"M&H LIQUOR CORP","M & H DISCOUNT LIQUORS","12-20013-0000","Liquor Store (city)","2019-09-25","1155 S HAVANA ST #65","Aurora","CO",80012
"MOHAN L.L.C.","HAVANA PARK LIQUOR","03-10398","Liquor Store (city)","2019-09-17","10772 EAST ILLIFF AVENUE","Aurora","CO",80012
"DRY DOCK ENTERPRISES INC","DRY DOCK BREWING CO","03-02756","Wholesale Beer (malt liquor)","2019-06-29","2801 TOWER ROAD","Aurora","CO",80011
"WILLIE L LAY INCORPORATED","TSAI SHEN GARDEN RESTAURANT","42-88374-0000","Hotel & Restaurant (city)","2020-03-10","15200 EAST 6TH AVENUE #2E","Aurora","CO",80011
"CHAMBERS STREET INC","CHAMBERS WINE & LIQUOR","22-08905-0000","Liquor Store (city)","2019-10-31","15260 E ILIFF","Aurora","CO",80014
"TIG INC AND 7-ELEVEN INC","7-ELEVEN STORE 27211A","42-59673-0000","Fermented Malt Beverage Off (city)","2019-06-24","15501 E 6TH AVE","Aurora","CO",800119003
"MCCOLLOM RESTAURANTS LLC","BENT NOODLE THE","03-03174","Hotel & Restaurant (city)","2019-07-21","3055 S PARKER RD UNIT A-108","Aurora","CO",80014
"NOM NOM ASIAN GRILL INC","NOM NOM ASIAN GRILL INC","03-06355","Beer & Wine (city)","2019-07-05","13700 EAST COLFAX AVENUE UNIT I","Aurora","CO",80011
"BPM GROUP INC","BENDERS BRAT HAUS","24-72397-0000","Beer & Wine (city)","2019-07-01","700 S BUCKLEY RD UNIT A","Aurora","CO",80017
"FORMOSA GARDEN RESTAURANT INC","FORMOSA GARDEN CHINESE RESTAURANT","42-44093-0000","Hotel & Restaurant (city)","2019-07-05","16645 E SMOKY HILL RD #F&G","Aurora","CO",800151764
"AURORA ELKS HOME INC","AURORA ELKS LODGE 1921","12-88367-0000","Club License (city)","2019-10-28","560 GENEVA ST","Aurora","CO",800104364
"CHELUNA BREWING COMPANY LLC","CHELUNA BREWING COMPANY","03-05629","Wholesale Beer (malt liquor)","2019-12-27","2501 DALLAS STREET UNIT 148","Aurora","CO",80010
"TWO22 BREW","TWO22 BREW","03-01675","Manufacturer (brewery)","2019-07-23","4550 S RESERVOIR RD","Aurora","CO",80015
"JANG Y K INC","DMZ RESTAURANT","03-08224","Hotel & Restaurant (city)","2019-06-05","2680 SOUTH HAVANA STREET #M","Aurora","CO",80014
"TARGET CORPORATION","TARGET STORES T1471","01-52854-0037","Fermented Malt Beverage Off (city)","2019-10-03","14200 E ELLSWORTH AVE","Aurora","CO",80012
"EL CAMARON LOCO INC","EL CAMARON LOCO","41-96990-0001","Hotel & Restaurant (city)","2019-07-15","513 HAVANA ST","Aurora","CO",800104319
"THE NEW LAS HADAS INC","LAS HADAS MEXICAN RESTAURANT","12-23583-0000","Hotel & Restaurant (city)","2019-12-18","15264 E HAMPDEN AVE","Aurora","CO",80014
"TGI FRIDAYS OF THE ROCKIES INC","TGI FRIDAYS","03-10787","Hotel & Restaurant (city)","2019-11-25","14150 EAST ALAMEDA AVENUE","Aurora","CO",80012
"MAVERICK WINE COMPANY OF COLORADO, LLC","MAVERICK WINE COMPANY OF COLORADO","03-04155","Wholesale (vinous & spirituous)","2019-05-28","14704 EAST 33RD PLACE UNIT C","Aurora","CO",80011
"SMASHBURGER ACQUISITION-DENVER LLC","SMASHBURGER #1524","03-07004","Beer & Wine (city)","2019-10-31","23890 EAST SMOKY HILL ROAD, SUITE 40","Aurora","CO",80016
"PDS STORES INC","PDS STORES INC","24-57436-0000","Fermented Malt Beverage Off (city)","2019-10-13","14490 E 6TH AVE","Aurora","CO",800118708
"IMNANG HONEY PIG INC","MR KIM KOREAN BBQ","03-03191","Hotel & Restaurant (city)","2019-07-13","12201 EAST MISSISSIPPI AVENUE #113","Aurora","CO",80012
"FLAMING JOW'S SEAFOOD, LLC","FLAMING JOE'S SEAFOOD","03-07108","Hotel & Restaurant (city)","2019-12-07","18648 E. HAMPDEN AVE","Aurora","CO",80013
"QDOBA RESTAURANT CORPORATION","QDOBA MEXICAN EATS","28-14915-0034","Hotel & Restaurant (city)","2019-11-21","23923 E PROSPECT AVE STE C","Aurora","CO",80016
"K & T LLC","QUINCY LIQUOR","03-08925","Liquor Store (city)","2019-12-06","19330 EAST QUINCY AVENUE UNIT D","Aurora","CO",80015
"SI AMIGO'S INC","SI AMIGO'S","03-00112","Hotel & Restaurant (city)","2019-09-05","9500 EAST COLFAX AVENUE","Aurora","CO",80010
"STATION MASTERS INC","THE KENNEDY STATION","03-08731","Hotel & Restaurant (city)","2019-10-31","10890 EAST DARTMOUTH AVENUE UNIT F","Aurora","CO",80014
"CST METRO LLC","CIRCLE K #2741128","21-79919-0145","Fermented Malt Beverage Off (city)","2019-07-19","2601 SOUTH TOWER ROAD","AURORA","CO",800135949
"CST METRO LLC","CIRCLE K #2744051","21-79919-0052","Fermented Malt Beverage Off (city)","2019-06-19","3790 CHAMBERS RD","Aurora","CO",80011
"SHIFERAW METSLAL","ANTIQUE LIQUORS","41-40042-0000","Liquor Store (city)","2019-07-17","13690 E ILIFF AVE UNIT A","Aurora","CO",800146522
"HIGH HEAT INC","SAZZA","03-06279","Hotel & Restaurant (city)","2019-07-04","2501 NORTH DALLAS STREET SUITE 104","Aurora","CO",80010
"HY INC","MONTVIEW PLAZA LIQUOR","42-78396-0000","Liquor Store (city)","2020-04-07","9435 EAST MONTVIEW BLVD","Aurora","CO",80010
"LEEVERS SUPERMARKETS INC","SAVE-A-LOT 6TH","04-00712","Fermented Malt Beverage Off (city)","2019-04-09","15220 EAST 6TH AVENUE","Aurora","CO",80011
"AMF BOWLING CENTERS INC","AMF AURORA LANES","03-68728-0004","Hotel & Restaurant (city)","2020-02-15","16700 E MISSISSIPPI","Aurora","CO",800173192
"WALMART INC.","WALMART STORE #1492","09-49518-0030","Fermented Malt Beverage Off (city)","2019-09-07","14000 E EXPOSITION","Aurora","CO",800122538
"SALUS LLC","PEAK TO PEAK TAP ROOM","03-07599","Brew Pub (city)","2019-04-03","16701 EAST ILIFF AVENUE","Aurora","CO",80013
"WALMART INC.","WALMART #5334","04-00600","Fermented Malt Beverage On/Off (city)","2019-05-16","3301 NORTH TOWER ROAD","Aurora","CO",80011
"SUNCOR ENERGY SALES INC","SHELL","41-44268-0009","Fermented Malt Beverage Off (city)","2019-08-21","16892 E ILIFF AVE","Aurora","CO",800131137
"KATHMANDU KITCHEN LLC","KATHMANDU KITCHEN","03-03175","Tavern (city)","2019-07-09","13740 E QUINCY AVE #9","Aurora","CO",80015
"LIQUOR 4 LESS INC.","LIQUOR 4 LESS","03-10058","Liquor Store (city)","2019-06-27","15451 EAST MISSISSIPPI AVENUE UNIT A","Aurora","CO",80017
"DILLON COMANIES LLC","JAIMEE DAWN WARD","03-08986","Manager Permit (LLDS)","2020-01-17","1651 SOUTH OSWEGO STREET","Aurora","CO",80012
"CEDAR CREEK PUB LLC","CEDAR CREEK PUB","42-96101-0000","Hotel & Restaurant (city)","2019-09-06","2100 N URSULA ST #20","AURORA","CO",800457414
"DRY DOCK ENTERPRISES INC","DRY DOCK BREWING CO","42-12824-0002","Wholesale Beer (malt liquor)","2019-08-31","15120 E HAMPDEN AVE","Aurora","CO",80014
"CODA BEER LLC","URSULA BREWERY","03-02265","Manufacturer (brewery)","2020-02-11","2101 NORTH URSULA STREET UNIT 10","Aurora","CO",80045
"CIRCLE K STORES INC","CIRCLE K STORE #2709899","21-65089-0072","Fermented Malt Beverage Off (city)","2019-08-15","2290 S HAVANA ST","Aurora","CO",80014
"CHINA JADE RESTAURANT INC.","CHINA JADE","03-09791","Hotel & Restaurant (city)","2019-07-22","12203 EAST ILIFF AVENUE UNIT D & F","Aurora","CO",80014
"RIDFM LIQUORS INC","PIONEER HILLS LIQUOR","03-09032","Liquor Store (city)","2020-01-10","5594 SOUTH PARKER ROAD #49","Aurora","CO",80015
"DILLON COMPANIES LLC","KING SOOPERS #30","01-10779-0042","Fermented Malt Beverage Off (city)","2020-01-11","1155 S HAVANA","Aurora","CO",80012
"TARAMARTS & GAS INC","TARAMARTS & GAS","04-00955","Fermented Malt Beverage Off (city)","2019-11-26","14081 EAST COLFAX AVENUE","Aurora","CO",80011
"DHILLON-PUREWALL INC","DANDY DISCOUNT LIQUOR","42-47980-0000","Liquor Store (city)","2019-08-12","12507 E MISSISSIPPI AVE UNIT 802","Aurora","CO",800123479
"SJM LIMITED","THE PAINT CELLAR","03-07405","Lodging & Entertainment (City)","2020-01-18","24291 EAST ORCHARD ROAD  UNIT A","Aurora","CO",80016
"WM3 INC.","SONORA LIQUORS","03-10249","Liquor Store (city)","2019-07-16","566 NORTH DAYTON STREET","Aurora","CO",80010
"MIKE & FRANK'S JACKPOT LLC","BOTTLE BARN LIQUOR M L","41-49106-0000","Liquor Store (city)","2020-01-11","1720 S BUCKLEY RD","Aurora","CO",80017
"CST METRO LLC","CIRCLE K #2741715","21-79919-0248","Fermented Malt Beverage Off (city)","2019-09-23","6220 S GUN CLUB RD","Aurora","CO",80016
"MEI WANG DA INC","PHO 97","03-10697","Hotel & Restaurant (city)","2019-10-14","23955 EAST PLAZA AVENUE UNIT# G115/G117","Aurora","CO",80016
"EL GALLITO 2 LLC.","EL GALLITO 2","03-09483","Hotel & Restaurant (city)","2019-03-05","304 HAVANA STREET","Aurora","CO",80010
"APRO LLC","MY GOODS MARKET #6551","04-00456","Fermented Malt Beverage Off (city)","2019-10-12","6310 SOUTH PARKER ROAD","Aurora","CO",80016
"BULLDOG LIQUORS INC","BULLDOG LIQUORS","42-07139-0000","Liquor Store (city)","2019-08-31","1470 NORTH AIRPORT BOULEVARD UNIT B","Aurora","CO",80011
"CHELUNA BREWING COMPANY LLC","CHELUNA BREWING COMPANY","03-05628","Manufacturer (brewery)","2019-12-27","2501 DALLAS STREET  UNIT 148","Aurora","CO",80010
"PARKER RD HOOTERS INC","HOOTERS","23-40139-0000","Hotel & Restaurant (city)","2019-06-26","2610 SOUTH PARKER ROAD","Aurora","CO",800141616
"RANCHO ALEGRE CORPORATION","RANCHO ALEGRE MEXICAN RESTAURANT","03-07916","Hotel & Restaurant (city)","2019-08-07","420 SOUTH CHAMBERS ROAD  UNIT B","Aurora","CO",80017
"YEFTER INC","MISSION VIEJO LIQUORS","42-01681-0000","Liquor Store (city)","2019-05-23","15400 E HAMPDEN AVE","Aurora","CO",80013
"7-ELEVEN INC & CARPCO LLC","7-ELEVEN STORE 39528A","42-96171-0002","Fermented Malt Beverage Off (city)","2019-12-13","16310 E QUINCY AVE","Aurora","CO",800151596
"AKELOM CORPORATION","CHAMBERS LIQUOR MART AURORA","42-40441-0000","Liquor Store (city)","2019-11-27","15201 EAST COLFAX","Aurora","CO",800115724
"LOMAX INVESTMENT GROUP LLC","RACK 'EM BILLIARDS & SPORTS BAR","03-02871","Tavern (city)","2019-05-06","1919 S HAVANA STREET","Aurora","CO",80014
"COMIDA AT THE STANLEY MARKETPLACE LLC","COMIDA AT THE STANLEY","03-06703","Hotel & Restaurant (city)","2019-09-13","2501 DALLAS STREET #140","Aurora","CO",80010
"LOGAN HOUSE COFFEE COMPANY LLC","LOGAN HOUSE COFFEE COMPANY","03-06233","Tavern (city)","2019-06-12","2501 DALLAS STREET  UNIT 112","Aurora","CO",80010
"DTNN INC & 7-ELEVEN INC","7-ELEVEN STORE 25718B","04-00429","Fermented Malt Beverage Off (city)","2019-11-04","2220 SOUTH PEORIA STREET","Aurora","CO",80014
"CARTAGENA INVESTMENTS LLC","JABANERO'S MEXICAN GRILL","03-01267","Hotel & Restaurant (city)","2019-07-25","5584 S PARKER RD","Aurora","CO",80015
"ARIRADO, INC","FUNNY PLUS","03-07018","Hotel & Restaurant (city)","2019-10-13","2779 SOUTH PARKER ROAD UNIT E-5","Aurora","CO",80014
"MILEY ENTERPRISES LTD","DOZEN'S RESTAURANT","23-12994-0000","Hotel & Restaurant (city)","2019-12-27","2180 S HAVANA ST","Aurora","CO",80014
"TOKYO INC","TOKYO JOE'S","23-57426-0018","Hotel & Restaurant (city)","2019-10-17","23955 E PLAZA AVE #G111","Aurora","CO",80016
"HAR MART CORP","HAN AH REUM","41-57949-0000","Fermented Malt Beverage Off (city)","2019-08-26","2751 S PARKER RD","Aurora","CO",800142701
"ILIFF DINER LLC","ROSIES DINER","42-64995-0000","Hotel & Restaurant (city)","2019-07-30","14061 E ILIFF AVE","Aurora","CO",800141404
"REWX, INC & 7-ELEVEN, INC","7-ELEVEN STORE 23990A","04-00111","Fermented Malt Beverage Off (city)","2020-05-20","1795 N PEORIA ST","Aurora","CO",80010
"BRINKER RESTAURANT CORPORATION","CHILI'S GRILL & BAR","10-82383-0057","Hotel & Restaurant (city)","2019-04-25","6379 SOUTH SOUTHLANDS PKY","AURORA","CO",80016
"DBC STANLEY, LLC","DENVER BISCUIT COMPANY","03-06331","Hotel & Restaurant (city)","2019-08-01","2501 DALLAS STREET, UNIT 150","Aurora","CO",80010
"LEEVERS SUPERMARKETS INC","COLORADO RANCH MARKET","04-00711","Fermented Malt Beverage Off (city)","2019-04-16","11505 EAST COLFAX AVENUE","Aurora","CO",80010
"JMJ SMITH LLC","CHALLENGERS SPORTSBAR & RESTAURANT","42-53224-0000","Hotel & Restaurant (city)","2019-12-03","12161 E ILIFF AVE","AURORA","CO",800141201
"RODRIGUEZ INC","LOS DOS TARASCOS RESTAURANT","03-00033","Hotel & Restaurant (city)","2019-08-07","12507 E MISSISSIPPI AVENUE UNIT 302","Aurora","CO",80012
"SEQUOIA GOLF DENVER BEVERAGE LLC","BLACKSTONE COUNTRY CLUB","42-74592-0001","Hotel & Restaurant / Optional (city)","2019-12-06","7777 S COUNTRY CLUB PKWY","Aurora","CO",80016
"LOCKE DISTILLING LLC","LOCKE & CO DISTILLERY","03-09091","Wholesale (vinous & spirituous)","2020-02-25","16730 EAST 2ND AVENUE","Aurora","CO",80011
"G&M FAMBIZ, INC","POWDERHORN LIQUOR","03-10726","Liquor Store (city)","2019-11-20","12078 EAST MISSISSIPPI AVENUE","Aurora","CO",80012
"P F CHANG'S CHINA BISTRO INC","P F CHANG'S CHINA BISTRO","12-31387-0007","Hotel & Restaurant (city)","2019-09-26","23902 E PROSPECT AVE","Aurora","CO",800165335
"LA MORENA MEXICAN RESTAURANT LLC","LA MORENA MEXICAN RESTAURANT","42-84004-0000","Hotel & Restaurant (city)","2019-05-02","9650 EAST COLFAX AVENUE","Aurora","CO",800105010
"CPX AURORA HOTEL LLC","SPRINGHILL SUITES DENVER AURORA FITZSIMONS","14-68171-0000","Hotel & Restaurant (city)","2019-04-04","13400 E COLFAX AVE","Aurora","CO",80011
"CHEERS MANAGEMENT, LLC","STONE FLY CANTINA THE","03-01138","Hotel & Restaurant (county)","2020-03-12","7904 SHEA RD","Austin","CO",81410
"BEAVER CREEK FOOD SERVICES","TALONS","03-01932","Hotel & Restaurant / Optional (county)","2019-10-29","SE1/4SW1/4SEC 25, TOWNSHIP 5 S, RANGE 82 W","Avon","CO",81620
"BEAVER CREEK FOOD SERVICES INC","ZACHS CABIN","04-51098-0006","Hotel & Restaurant / Optional (county)","2019-11-30","SW 1/4 SEC 14 TSP 5S RANGE 82 W 6TH PM","Avon","CO",81620
"BEAVER CREEK FOOD SERVICES INC","SPRUCE SADDLE RESTAURANT","04-51099-0001","Hotel & Restaurant / Optional (county)","2019-12-11","SEC30 T5S R81W","Avon","CO",81620
"BEAVER CREEK FOOD SERVICES INC","BEANO'S CABIN","04-51099-0005","Hotel & Restaurant / Optional (county)","2019-12-18","S25 36 T5S R82W","Avon","CO",81620
"BEAVER CREEK FOOD SERVICES INC","RENDEZVOUS CLUB THE","04-51099-0009","Hotel & Restaurant / Optional (county)","2019-08-10","LT 9 TRCK A BLK 4","Avon","CO",81620
"BEAVER CREEK FOOD SERVICES INC","ALLIE'S CABIN","04-51099-0012","Hotel & Restaurant / Optional (county)","2019-12-08","S-19 T-5S R-81W","Avon","CO",81620
"DIAMOND FIVE LTD","COYOTE CAFE","04-65986-0000","Hotel & Restaurant (county)","2019-07-13","210 THE PLAZA","Avon","CO",816209999
"NEW NEW LLC","HOOKED","03-01535","Hotel & Restaurant (county)","2019-06-30","122 THE PLAZA UNIT 23B","Avon","CO",81620
"OLLIE'S CAFE INC","ROUTE 6 CAFE","03-00124","Hotel & Restaurant (county)","2019-09-12","40801 HIGHWAYS 6 & 24","Avon","CO",81620
"WVO LICENSING LLC","WYNDHAM RESORT AT AVON","03-04966","Resort Complex (city)","2019-11-29","75 BENCHMARK ROAD","Avon","CO",81620
"SAUCE ON THE CREEK","SAUCE ON THE CREEK","03-09240","Hotel & Restaurant (city)","2020-01-16","TRAER CREEK PLAZA 0101 FAWCETT ROAD #100","Avon","CO",81620
"VAIL VALLEY MEXICAN FOODS LLC","AGAVE","07-67736-0001","Hotel & Restaurant (city)","2019-11-15","1060 EAST BEAVER CREEK","Avon","CO",81620
"SEERUT INC & 7-ELEVEN INC","7-ELEVEN STORE 34209A","04-00466","Fermented Malt Beverage Off (city)","2019-12-13","008 NOTTINGHAM ROAD","Avon","CO",81620
"BLUE MOOSE PIZZA BEAVER CREEK","BLUE MOOSE PIZZA","09-92706-0000","Hotel & Restaurant (county)","2019-09-23","76 AVONDALE LN","Avon","CO",81620
"BEAVER CREEK FOOD SERVICES INC","TOSCANINI","04-51099-0015","Hotel & Restaurant / Optional (county)","2019-12-08","61 AVONDALE LN","Avon","CO",81620
"BENCHMARK LIQUORS INC","BEAVER LIQUORS","04-37793-0000","Liquor Store (city)","2019-06-19","110 EAST BEAVER CREEK BLVD","AVON","CO",816209999
"BEAVER CREEK FOOD SERVICES INC","BACHELOR GULCH CLUB","03-03456","Tavern (county)","2019-08-21","130 DAYBREAK RIDGE ROAD","Avon","CO",81620
"PROST LLC","EIN PROSIT FINE BEERS AND SAUSAGES","03-07780","Hotel & Restaurant (city)","2019-08-09","82 EAST BEAVER CREEK PLACE  SUITE M107","Avon","CO",81620
"DANIEL'S FOODS INC","MIRABELLE AT BEAVER CREEK","07-59554-0000","Hotel & Restaurant (county)","2019-07-22","55 VILLAGE ROAD","Avon","CO",81620
"BC II LLC","COLORADO TASTING ROOM","12-93402-0000","Hotel & Restaurant (county)","2019-11-14","210 OFFERSON RD UNIT C 201","Avon","CO",81620
"EAST WEST RESORT LLC&AVON RIVERFRONT LLC","WESTIN RIVERFRONT RESORT & SPA & MAYA","15-81180-0000","Resort Complex (city)","2019-06-12","126 RIVERFRONT LN","Avon","CO",81620
"BEAVER CREEK FOOD SERVICES INC","THE OSPREY AT BEAVER CREEK","04-51099-0010","Hotel & Restaurant (county)","2019-11-16","10 ELK TRACK RD","Avon","CO",81620
"PIER 13 LIQUOR INC","PIER 13 LIQUOR","15-37869-0000","Liquor Store (county)","2019-04-08","41131 US HWY 6 & 24","Avon","CO",81620
"DB ENTERPRISES INC","THE GOLDEN EAGLE INN","42-49791-0000","Hotel & Restaurant (county)","2019-08-27","118 BEAVER CREEK PLAZA","Avon","CO",81620
"DIVA STAKES LTD.","GROUSE MOUNTAIN GRILL","03-11295","Hotel & Restaurant (county)","2020-03-01","141 SCOTT HILL ROAD","Avon","CO",81620
"RINK PRODUCTIONS INC","RINK PRODUCTIONS INC","26-65945-0001","Optional Premises (county)","2019-05-31","26 AVONDALE LN","Avon","CO",81620
"FANCY PANSY LLC","FANCY PANSY","03-09302","Beer & Wine (city)","2020-02-28","51 BEAVER CREEK PLACE UNIT #2","Avon","CO",81620
"PHO 20 LLC","PHO 20","03-04146","Hotel & Restaurant (city)","2019-02-26","47 BEAVER CREEK BLVD UNIT C13 C14","Avon","CO",81620
"DILLON COMPANIES LLC","CITY MARKET #26","01-10779-0140","Fermented Malt Beverage Off (city)","2019-10-10","0072 BEAVER CREEK PLACE","AVON","CO",81620
"FORK & KNIFE INC","BLUE PLATE","07-97189-0000","Hotel & Restaurant (city)","2019-12-12","48 EAST BEAVER CREEK BLVD","Avon","CO",81620
"WVR COLORADO LLC","TERRACE / BLACK DIAMOND BISTRO","28-72258-0000","Hotel & Restaurant (county)","2019-11-30","120 OFFERSON RD","Avon","CO",81620
"VAIL VALLEY FOUNDATION","THE VILAR PERFORMING ARTS CENTER","04-71265-0004","Arts License (county)","2020-01-17","68 AVONDALE LN","Avon","CO",81620
"SOUTHSIDE BENDERZ LLC","SOUTHSIDE BENDERZ","03-09422","Hotel & Restaurant (city)","2020-03-11","182 AVON ROAD SUITE 208","Avon","CO",81620
"SABOR MAZATLAN INC.","SABOR MAZATLAN","03-09739","Hotel & Restaurant (city)","2019-05-03","150 EAST BEAVER CREEK BOULEVARD #A101","Avon","CO",81620
"CHINA GARDEN INC","CHINA GARDEN","03-09430","Hotel & Restaurant (city)","2019-03-19","100 WEST BEAVER CREEK BLVD #125","Avon","CO",81620
"FRISCO RESTAURANT LLC","TI AMO ITALIAN RESTAURANT","03-05710","Hotel & Restaurant (county)","2019-12-07","40928 SOUTH HWY 6 #2 A","Avon","CO",81620
"BOB'S PLACE LLC","BOB'S PLACE","28-17592-0000","Hotel & Restaurant (city)","2020-02-10","100 WEST BEAVER CREEK BLVD","Avon","CO",81620
"PAZZO'S WEST INC","PAZZO'S PIZZERIA","03-76319-0000","Hotel & Restaurant (city)","2019-11-04","82 EAST BEAVER CRK BLVD","AVON","CO",81620
"SUNCOR ENERGY SALES INC","SHELL","41-44268-0013","Fermented Malt Beverage Off (city)","2019-10-29","0047 NOTTINGHAM ROAD","Avon","CO",81620
"AVON PROPERTIES LEASING LLC","VILLAGE WAREHOUSE WINES","41-84762-0000","Liquor Store (city)","2019-12-14","101 FAWCETT RD","Avon","CO",81620
"YERF LLC","TICINO ITALIAN RESTAURANT","42-92928-0000","Hotel & Restaurant (city)","2019-08-10","100 WEST BEAVER CREEK BLVD  UNIT 127","AVON","CO",81620
"LOOK MA ENTERPRISES, LLC","LOADED JOE'S","03-10393","Hotel & Restaurant (city)","2019-10-10","82 EAST BEAVER CREEK BOULEVARD, SUITE 104 & 109","Avon","CO",81620
"Y&Z INC","NOZAWA SUSHI AND KITCHEN","15-54999-0002","Hotel & Restaurant (city)","2019-08-16","240 CHAPEL PL","Avon","CO",81620
"SHOP & HOP #3 LLC","SHOP & HOP #3","12-90584-0000","Fermented Malt Beverage Off (county)","2020-02-14","15 EAGLE VAIL RD","Avon","CO",81620
"SPIKED LLC","MARKET WINE & SPIRITS","03-07823","Liquor Store (county)","2019-06-07","210 OFFERSON ROAD UNIT 101C","Avon","CO",81620
"HYATT CORP","PARK HYATT BEAVER CREEK","04-85070-0005","Hotel & Restaurant / Optional (county)","2019-05-09","136 E THOMAS PL","Avon","CO",81620
"THE RITZ-CARLTON HOTEL COMPANY LLC","THE RITZ-CARLTON BACHELOR GULCH","41-17214-0000","Hotel & Restaurant (county)","2019-10-22","0130 DAYBREAK RIDGE","Avon","CO",81620
"WALMART INC","WALMART #1199","09-49518-0019","Fermented Malt Beverage Off (city)","2019-06-16","171 YODER AVENUE","AVON","CO",816209999
"TURTLE TUBING LLC","TURTLE BUS & TUBING LLC","03-04066","Public Transportation","2020-05-21","40900 US HWY 6 & 24","Avon","CO",81620
"DUSTY BOOT LLC","DUSTY BOOT STEAKHOUSE & SALOON","07-77077-0000","Hotel & Restaurant (county)","2020-03-28","210 OFFERSON RD","Avon","CO",81620
"R&E ENTERPRISE LLC","GONDOLA PIZZA","25-56628-0000","Hotel & Restaurant (city)","2019-11-01","240 CHAPEL PLACE  #113","Avon","CO",81620
"NORTHSIDE COFFEE & KITCHEN LLC","NORTHSIDE COFFEE & KITCHEN","42-97499-0000","Hotel & Restaurant (city)","2019-11-29","20 NOTTINGHAM ROAD UNIT# A & C","Avon","CO",81620
"MILLER'S BOTTLE SHOP LLC","JOE'S LIQUORS","41-64422-0000","Liquor Store (city)","2019-03-28","1060 WEST BEAVER CREEK BLVD #1B","AVON","CO",81620
"KRUSEN INC","AVON LIQUORS","15-54405-0000","Liquor Store (city)","2019-10-29","100 W BEAVER CREEK BLVD","Avon","CO",81620
"TIMBERS BG BEVERAGE LLC","TIMBERS BACHELOR GULCH","03-02735","Hotel & Restaurant (county)","2019-04-28","100 BACHELOR RIDGE TRAIL","Avon","CO",81620
"EAGLE VAIL METRODIST","WHISKEY HILL GOLF GRILL","04-33003-0000","Hotel & Restaurant / Optional (county)","2020-01-19","0431 EAGLE DR","Avon","CO",81620
"RRREVOLUTION, LLC","REVOLUTION ROTISSERIE RESTAURANT","03-05173","Hotel & Restaurant (county)","2019-10-14","26 AVONDALE LANE #227","Avon","CO",81620
"WILLRAIN LLC","RIMINI","42-54334-0002","Tavern (county)","2019-11-19","45 W THOMAS PLACE","Avon","CO",81620
"COLUMBINE BAKERY INC","COLUMBINE BAKERY","04-85252-0000","Hotel & Restaurant (city)","2020-01-22","51 BEAVER CREEK PL","Avon","CO",816209999
"VISTANA COLORADO MANAGEMENT INC","SHERATON MOUNTAIN VISTA","14-46418-0001","Hotel & Restaurant (city)","2019-03-06","160 BEAVER CREEK WEST","Avon","CO",81620
"CHAIR FOUR LLC","VIN 48","15-61907-0000","Hotel & Restaurant (city)","2019-10-10","48 E BEAVER CREEK BLVD","Avon","CO",81620
"FIESTA JALISCO NUMBERO TRES LLC","FIESTA JALISCO","15-38084-0000","Hotel & Restaurant (city)","2020-03-02","240 CHAPEL PLACE B-12","Avon","CO",81620
"BEAVER CREEK FOOD SERVICES INC","SADDLERIDGE AT BEAVER CREEK","04-51099-0011","Hotel & Restaurant (county)","2019-07-23","44 MEADOW LN","Avon","CO",81620
"BIRNER ERICA G","CHUCK'S PLACE","42-65003-0000","Tavern (county)","2019-12-16","327 HWY 50 EAST","Avondale","CO",81022
"BIRNER JAMES A","AVONDALE LIQUOR","42-97246-0000","Liquor Store (county)","2019-09-19","323 E US HWY 50","Avondale","CO",81022
